day,count0,0
1,0
2,0
3,0
4,0
5,0
6,46
7,45
8,37
9,41
10,39
11,40
12,38
13,37
14,36
15,39
16,39
17,46
18,38
19,42
20,44
21,42
22,38
23,39
24,35
25,38
26,41
27,39
28,46
29,40
30,41
31,44
32,45
33,40
34,45
35,48
36,46
37,41
38,40
39,43
40,48
41,51
42,44
43,45
44,43
45,44
46,49
47,47
48,43
49,45
50,44
51,41
52,48
53,43
54,42
55,42
56,44
57,44
58,40
59,44
60,36
61,41
62,38
63,43
64,45
65,41
66,38
67,38
68,39
69,45
70,48
71,47
72,46
73,39
74,42
75,43
76,46
77,42
78,40
79,43
80,40
81,39
82,40
83,39
84,42
85,42
86,48
87,43
88,40
89,43
90,44
91,46
92,42
93,40
94,41
95,39
96,41
97,35
98,38
99,45
day,count0,0
1,0
2,0
3,0
4,0
5,0
6,38
7,30
8,28
9,30
10,33
11,37
12,35
13,27
14,30
15,29
16,33
17,28
18,27
19,25
20,25
21,33
22,34
23,29
24,28
25,31
26,37
27,35
28,29
29,31
30,33
31,32
32,32
33,27
34,28
35,35
36,37
37,35
38,29
39,31
40,27
41,32
42,33
43,27
44,28
45,32
46,35
47,34
48,29
49,34
50,32
51,34
52,36
53,31
54,25
55,29
56,35
57,26
58,25
59,29
60,28
61,36
62,36
63,28
64,32
65,36
66,34
67,29
68,28
69,32
70,32
71,38
72,30
73,28
74,30
75,28
76,39
77,33
78,25
79,29
80,28
81,35
82,29
83,23
84,27
85,32
86,34
87,32
88,24
89,18
90,28
91,27
92,32
93,27
94,34
95,32
96,37
97,36
98,26
99,26
day,count0,0
1,0
2,0
3,0
4,0
5,0
6,42
7,32
8,31
9,29
10,33
11,41
12,42
13,32
14,32
15,31
16,38
17,34
18,34
19,34
20,36
21,40
22,40
23,29
24,27
25,31
26,40
27,37
28,38
29,39
30,35
31,41
32,34
33,31
34,26
35,38
36,44
37,42
38,32
39,35
40,33
41,37
42,34
43,27
44,27
45,36
46,37
47,38
48,34
49,34
50,37
51,42
52,36
53,40
54,32
55,33
56,33
57,32
58,30
59,34
60,31
61,41
62,33
63,32
64,28
65,36
66,37
67,40
68,33
69,34
70,32
71,37
72,36
73,33
74,31
75,39
76,43
77,41
78,35
