day,count0,0
1,0
2,0
3,0
4,0
5,0
6,38
7,49
8,45
9,42
10,46
11,44
12,47
13,51
14,47
15,45
16,45
17,46
18,45
19,45
20,40
21,38
22,46
23,45
24,42
25,42
26,44
27,44
28,49
29,46
30,43
31,44
32,50
33,46
34,44
35,46
36,51
37,46
38,47
39,43
40,46
41,44
42,44
43,48
44,47
45,44
46,43
47,48
48,44
49,41
50,41
51,41
52,41
53,47
54,42
55,40
56,38
57,47
58,49
59,46
60,41
61,36
62,44
63,43
64,46
65,46
66,42
67,54
68,44
69,46
70,46
71,47
72,47
73,42
74,45
75,47
76,48
77,46
78,45
79,42
80,43
81,35
82,37
83,41
84,45
85,38
86,40
87,48
88,42
89,44
90,42
91,42
92,42
93,45
94,38
95,39
96,42
97,49
98,52
99,47
day,count0,0
1,0
2,0
3,0
4,0
5,0
6,36
7,24
8,30
9,36
10,32
11,30
12,42
13,41
14,36
15,33
16,35
17,36
18,31
19,40
20,37
21,29
22,33
23,34
24,26
25,33
26,33
27,32
28,32
29,42
30,35
31,40
32,44
33,37
34,39
35,39
36,37
37,42
38,38
39,37
40,36
41,32
42,29
43,35
44,40
45,41
46,38
47,38
48,39
49,42
50,40
51,38
52,34
53,38
54,40
55,38
56,43
57,39
58,38
59,38
60,37
61,31
62,34
63,34
64,35
65,36
66,38
67,29
68,32
69,39
70,36
71,34
72,28
73,34
74,37
75,40
76,35
77,39
78,36
79,40
80,38
81,32
82,37
83,37
84,41
85,35
86,24
87,35
88,45
89,37
90,35
91,33
92,31
93,35
94,36
95,38
96,32
97,37
98,39
99,38
day,count0,0
1,0
2,0
3,0
4,0
5,0
6,39
7,37
8,33
9,38
10,38
11,37
12,30
13,36
14,34
15,43
16,36
17,33
18,36
19,40
20,42
21,40
22,39
23,41
24,40
25,37
26,36
27,31
28,33
29,34
30,35
31,35
32,30
33,34
34,46
35,45
36,36
37,39
38,38
39,46
40,39
41,30
42,31
43,40
44,43
45,42
46,42
47,34
48,34
49,39
50,41
51,37
52,36
53,40
54,40
55,43
56,42
57,37
58,35
59,35
60,41
61,40
62,36
63,38
64,33
65,38
66,34
67,29
68,24
69,32
70,41
71,37
72,38
73,34
74,36
75,34
76,36
77,33
78,32
