day:2, area_number:2, roomID:43, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:44, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:45, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:46, stock:1, suf_rate:0.1
day:2, area_number:2, roomID:47, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:48, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:49, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:50, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:51, stock:7, suf_rate:0.7
day:2, area_number:2, roomID:52, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:53, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:54, stock:5, suf_rate:0.5
day:2, area_number:2, roomID:55, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:56, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:57, stock:8, suf_rate:0.8
day:2, area_number:2, roomID:58, stock:3, suf_rate:0.3
day:2, area_number:2, roomID:59, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:60, stock:3, suf_rate:0.3
day:3, area_number:3, roomID:61, stock:6, suf_rate:0.6
day:3, area_number:3, roomID:62, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:63, stock:5, suf_rate:0.5
day:3, area_number:3, roomID:64, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:65, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:66, stock:5, suf_rate:0.5
day:3, area_number:3, roomID:67, stock:2, suf_rate:0.2
day:3, area_number:3, roomID:68, stock:2, suf_rate:0.2
day:3, area_number:3, roomID:69, stock:3, suf_rate:0.3
day:3, area_number:3, roomID:70, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:71, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:72, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:73, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:74, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:75, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:76, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:77, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:78, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:79, stock:3, suf_rate:0.3
day:3, area_number:3, roomID:60, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:61, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:62, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:63, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:64, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:65, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:66, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:67, stock:5, suf_rate:0.5
day:3, area_number:3, roomID:68, stock:3, suf_rate:0.3
day:3, area_number:3, roomID:69, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:70, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:71, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:72, stock:2, suf_rate:0.2
day:3, area_number:3, roomID:73, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:74, stock:2, suf_rate:0.2
day:3, area_number:3, roomID:75, stock:0, suf_rate:0.0
day:3, area_number:3, roomID:76, stock:7, suf_rate:0.7
day:3, area_number:3, roomID:77, stock:3, suf_rate:0.3
day:3, area_number:3, roomID:78, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:79, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:80, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:81, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:82, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:83, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:84, stock:3, suf_rate:0.3
day:4, area_number:4, roomID:85, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:86, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:87, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:88, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:89, stock:2, suf_rate:0.2
day:4, area_number:4, roomID:90, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:91, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:92, stock:3, suf_rate:0.3
day:4, area_number:4, roomID:93, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:94, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:95, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:96, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:97, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:98, stock:2, suf_rate:0.2
day:4, area_number:4, roomID:99, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:80, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:81, stock:2, suf_rate:0.2
day:4, area_number:4, roomID:82, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:83, stock:2, suf_rate:0.2
day:4, area_number:4, roomID:84, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:85, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:86, stock:2, suf_rate:0.2
day:4, area_number:4, roomID:87, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:88, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:89, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:90, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:91, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:92, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:93, stock:1, suf_rate:0.1
day:4, area_number:4, roomID:94, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:95, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:96, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:97, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:98, stock:0, suf_rate:0.0
day:4, area_number:4, roomID:99, stock:2, suf_rate:0.2
day:5, area_number:0, roomID:0, stock:3, suf_rate:0.3
day:5, area_number:0, roomID:1, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:2, stock:2, suf_rate:0.2
day:5, area_number:0, roomID:3, stock:2, suf_rate:0.2
day:5, area_number:0, roomID:4, stock:2, suf_rate:0.2
day:5, area_number:0, roomID:5, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:6, stock:6, suf_rate:0.6
day:5, area_number:0, roomID:7, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:8, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:9, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:10, stock:2, suf_rate:0.2
day:5, area_number:0, roomID:11, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:12, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:13, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:14, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:15, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:16, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:17, stock:4, suf_rate:0.4
day:5, area_number:0, roomID:18, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:19, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:0, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:1, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:3, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:4, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:5, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:7, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:9, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:10, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:11, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:14, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:15, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:16, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:17, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:18, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:19, stock:0, suf_rate:0.0
