roomID:2, day:87, sales:0, shortage0, consume:0
roomID:2, day:88, sales:0, shortage0, consume:0
roomID:2, day:89, sales:0, shortage0, consume:0
roomID:2, day:90, sales:0, shortage0, consume:0
roomID:2, day:91, sales:0, shortage0, consume:0
roomID:2, day:92, sales:0, shortage0, consume:0
roomID:2, day:93, sales:0, shortage0, consume:0
roomID:2, day:94, sales:0, shortage0, consume:0
roomID:2, day:95, sales:0, shortage0, consume:0
roomID:2, day:96, sales:0, shortage0, consume:0
roomID:2, day:97, sales:0, shortage0, consume:0
roomID:2, day:98, sales:0, shortage0, consume:0
roomID:2, day:99, sales:0, shortage0, consume:0

roomID:3, day:0, sales:0, shortage0, consume:0
roomID:3, day:1, sales:0, shortage0, consume:0
roomID:3, day:2, sales:0, shortage0, consume:0
roomID:3, day:3, sales:0, shortage0, consume:0
roomID:3, day:4, sales:0, shortage0, consume:0
roomID:3, day:5, sales:0, shortage0, consume:0
roomID:3, day:6, sales:0, shortage0, consume:0
roomID:3, day:7, sales:0, shortage0, consume:0
roomID:3, day:8, sales:0, shortage0, consume:0
roomID:3, day:9, sales:0, shortage0, consume:0
roomID:3, day:10, sales:0, shortage0, consume:0
roomID:3, day:11, sales:0, shortage0, consume:0
roomID:3, day:12, sales:0, shortage0, consume:0
roomID:3, day:13, sales:0, shortage0, consume:0
roomID:3, day:14, sales:0, shortage0, consume:0
roomID:3, day:15, sales:0, shortage0, consume:0
roomID:3, day:16, sales:0, shortage0, consume:0
roomID:3, day:17, sales:0, shortage0, consume:0
roomID:3, day:18, sales:0, shortage0, consume:0
roomID:3, day:19, sales:0, shortage0, consume:0
roomID:3, day:20, sales:0, shortage0, consume:0
roomID:3, day:21, sales:0, shortage0, consume:0
roomID:3, day:22, sales:0, shortage0, consume:0
roomID:3, day:23, sales:0, shortage0, consume:0
roomID:3, day:24, sales:0, shortage0, consume:0
roomID:3, day:25, sales:0, shortage0, consume:0
roomID:3, day:26, sales:0, shortage0, consume:0
roomID:3, day:27, sales:0, shortage0, consume:0
roomID:3, day:28, sales:0, shortage0, consume:0
roomID:3, day:29, sales:0, shortage0, consume:0
roomID:3, day:30, sales:0, shortage0, consume:0
roomID:3, day:31, sales:0, shortage0, consume:0
roomID:3, day:32, sales:0, shortage0, consume:0
roomID:3, day:33, sales:0, shortage0, consume:0
roomID:3, day:34, sales:0, shortage0, consume:0
roomID:3, day:35, sales:0, shortage0, consume:0
roomID:3, day:36, sales:0, shortage0, consume:0
roomID:3, day:37, sales:0, shortage0, consume:0
roomID:3, day:38, sales:0, shortage0, consume:0
roomID:3, day:39, sales:0, shortage0, consume:0
roomID:3, day:40, sales:0, shortage0, consume:0
roomID:3, day:41, sales:0, shortage0, consume:0
roomID:3, day:42, sales:0, shortage0, consume:0
roomID:3, day:43, sales:0, shortage0, consume:0
roomID:3, day:44, sales:0, shortage0, consume:0
roomID:3, day:45, sales:0, shortage0, consume:0
roomID:3, day:46, sales:0, shortage0, consume:0
roomID:3, day:47, sales:0, shortage0, consume:0
roomID:3, day:48, sales:0, shortage0, consume:0
roomID:3, day:49, sales:0, shortage0, consume:0
roomID:3, day:50, sales:0, shortage0, consume:0
roomID:3, day:51, sales:0, shortage0, consume:0
roomID:3, day:52, sales:0, shortage0, consume:0
roomID:3, day:53, sales:0, shortage0, consume:0
roomID:3, day:54, sales:0, shortage0, consume:0
roomID:3, day:55, sales:0, shortage0, consume:0
roomID:3, day:56, sales:0, shortage0, consume:0
roomID:3, day:57, sales:0, shortage0, consume:0
roomID:3, day:58, sales:0, shortage0, consume:0
roomID:3, day:59, sales:0, shortage0, consume:0
roomID:3, day:60, sales:0, shortage0, consume:0
roomID:3, day:61, sales:0, shortage0, consume:0
roomID:3, day:62, sales:0, shortage0, consume:0
roomID:3, day:63, sales:0, shortage0, consume:0
roomID:3, day:64, sales:0, shortage0, consume:0
roomID:3, day:65, sales:0, shortage0, consume:0
roomID:3, day:66, sales:0, shortage0, consume:0
roomID:3, day:67, sales:0, shortage0, consume:0
